127.0.0.1 - - [29/Nov/2022:19:54:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:02 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:02 +0900] "GET /Web_project2/makeRecipe.css HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:02 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:02 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:29 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:29 +0900] "GET /Web_project2/makerecipe.css HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:29 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:55:29 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:58:00 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:58:00 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:58:00 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:19:58:00 +0900] "GET /Web_project2/makerecipe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:20:05:44 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 1888
0:0:0:0:0:0:0:1 - - [29/Nov/2022:20:05:44 +0900] "GET /Web_project2/makerecipe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:20:05:44 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:20:05:44 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:20:37:24 +0900] "GET /test/test2.jsp HTTP/1.1" 200 37068
