127.0.0.1 - - [11/Dec/2022:02:39:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:48 +0900] "GET /Web_project29/board-list.jsp HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:48 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:48 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:48 +0900] "GET /Web_project29/notice.css HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:48 +0900] "GET /Web_project29/mainpage.css HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:52 +0900] "GET /Web_project29/login.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:52 +0900] "GET /Web_project29/login_signup.css HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:39:59 +0900] "POST /Web_project29/login-db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:40:00 +0900] "GET /Web_project29/mainpage.jsp HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:40:00 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:40:00 +0900] "GET /Web_project29/recipefolder/null HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:40:00 +0900] "GET /Web_project29/recipefolder/%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5.jpg HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:40:00 +0900] "GET /Web_project29/recipefolder/%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 404 882
